Instrumento,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Î”|Delta,Last,Cantidad,IV Bid,Bid,Mark,Ask,IV Ask,Cantidad
BTC-31MAY24-20000-C,-,-,,15.67736,-2.7166,1.0833,-,,0.99793,-,5,-,0.6595,0.6613,0.663,185.02,5
BTC-31MAY24-20000-P,62.5,228.2,,-0.10917,-2.7166,1.0833,-,,-0.00207,0.0005,23.5,131.01,0.0001,0.0003,0.0005,154.18,22.5
BTC-31MAY24-25000-C,-,-,,19.49093,-4.89238,2.23732,-,,0.99537,-,5,-,0.575,0.5769,0.579,157.03,69.9
BTC-31MAY24-25000-P,71.2,91.4,,-0.24223,-4.89238,2.23732,-,,-0.00463,0.0005,1.3,120.84,0.0004,0.0006,0.0007,129.12,34.9
BTC-31MAY24-30000-C,-,10,,23.27051,-6.65361,3.6041,-,,0.99207,0.5569,5,-,0.4905,0.4924,0.4945,128.51,78.3
BTC-31MAY24-30000-P,20.2,311.5,,-0.40928,-6.65361,3.6041,-,,-0.00793,0.0008,8.1,103.54,0.0007,0.0009,0.0011,109.96,25.8
BTC-31MAY24-35000-C,-,29.6,,26.8147,-10.50381,6.57622,-,,0.98416,0.4565,5,-,0.406,0.4084,0.4105,106.62,5
BTC-31MAY24-35000-P,15.2,122.9,,-0.81173,-10.50381,6.57622,-,,-0.01584,0.0016,1,90.21,0.0014,0.0016,0.0018,93.8,37.5
BTC-31MAY24-38000-C,-,1.4,,28.77614,-13.59533,9.31495,-,,0.97614,0.4485,4.5,-,0.3555,0.3583,0.3605,95.88,69.4
BTC-31MAY24-38000-P,26.3,119.7,,-1.21826,-13.59533,9.31495,-,,-0.02386,0.0024,24.4,82.79,0.0021,0.0023,0.0025,85.32,15.8
BTC-31MAY24-40000-C,-,0.1,,29.96315,-16.17969,11.77283,0.00001,,0.9684,0.3622,4.1,60.28,0.3225,0.325,0.327,87.96,10.1
BTC-31MAY24-40000-P,15,166.8,,-1.60991,-16.17969,11.77283,0.00001,,-0.0316,0.0039,17,78.3,0.0028,0.003,0.0032,80.3,24.1
BTC-31MAY24-42000-C,-,8.7,,31.00181,-19.34871,14.93483,0.00001,,0.95774,0.335,3.8,62,0.2895,0.2921,0.2945,83.29,3.8
BTC-31MAY24-42000-P,24.6,150.1,,-2.1499,-19.34871,14.93483,0.00001,,-0.04226,0.0055,0.1,74.23,0.0038,0.0039,0.0041,75.41,12
BTC-31MAY24-44000-C,-,150,,31.81842,-23.32388,19.03945,0.00001,,0.94272,0.3205,4.5,61.85,0.257,0.2595,0.2615,76.48,1
BTC-31MAY24-44000-P,45,524.4,,-2.91194,-23.32388,19.03945,0.00001,,-0.05728,0.006,30,69.81,0.005,0.0052,0.0055,71.36,21.4
BTC-31MAY24-45000-C,2.2,10.9,,32.1181,-25.63615,21.49533,0.00001,,0.93308,0.223,16.1,61.47,0.241,0.2434,0.2455,74.19,11.7
BTC-31MAY24-45000-P,7.2,410.2,,-3.4016,-25.63615,21.49533,0.00001,,-0.06692,0.0075,24.4,68.37,0.006,0.0061,0.0065,69.73,25.8
BTC-31MAY24-46000-C,-,3.2,,32.34,-28.08097,24.19192,0.00001,,0.92192,0.2875,1,61.83,0.2255,0.2275,0.2295,71.64,1
BTC-31MAY24-46000-P,36.4,283.6,,-3.96902,-28.08097,24.19192,0.00001,,-0.07808,0.01,43.9,66.51,0.007,0.0071,0.0075,67.72,13
BTC-31MAY24-47000-C,-,5.1,,32.42756,-30.99105,27.31908,0.00002,,0.90818,0.2305,13.8,60.03,0.2095,0.2119,0.214,69.86,9.7
BTC-31MAY24-47000-P,50.5,453.3,,-4.67079,-30.99105,27.31908,0.00002,,-0.09182,0.0105,87.4,64.31,0.008,0.0085,0.009,66.47,54.6
BTC-31MAY24-48000-C,-,2,,32.42366,-33.89583,30.62463,0.00002,,0.89265,0.171,1,60.03,0.1945,0.1964,0.1985,67.73,11.1
BTC-31MAY24-48000-P,100.5,288,,-5.46401,-33.89583,30.62463,0.00002,,-0.10735,0.0105,95.3,62.83,0.0095,0.01,0.0105,64.75,25.6
BTC-31MAY24-49000-C,-,1.1,,32.25302,-37.2159,34.31931,0.00002,,0.87395,0.297,1,60.14,0.18,0.1814,0.1835,66.1,12.7
BTC-31MAY24-49000-P,18.8,500.4,,-6.42398,-37.2159,34.31931,0.00002,,-0.12605,0.012,82.2,61.79,0.0115,0.0119,0.0125,63.5,40.9
BTC-31MAY24-50000-C,0.3,69.1,,31.95289,-40.52553,38.1663,0.00002,,0.85277,0.2175,13.6,57.85,0.1645,0.1667,0.1685,64.06,8.3
BTC-31MAY24-50000-P,386.2,2029.1,,-7.51344,-40.52553,38.1663,0.00002,,-0.14723,0.0141,25.6,60.99,0.014,0.0141,0.015,62.53,71.5
BTC-31MAY24-51000-C,-,11,,31.47968,-43.98015,42.20396,0.00003,,0.82834,0.204,1,57.44,0.1505,0.1524,0.1545,63.02,1
BTC-31MAY24-51000-P,921.5,1102.5,,-8.77597,-43.98015,42.20396,0.00003,,-0.17166,0.017,44,59.62,0.0165,0.0168,0.0175,61.01,53
BTC-31MAY24-52000-C,1,27.4,,30.85758,-47.265,46.24713,0.00003,,0.80112,0.1255,1,57.65,0.1375,0.1385,0.1405,61.46,11.9
BTC-31MAY24-52000-P,184.6,585.2,,-10.18739,-47.265,46.24713,0.00003,,-0.19888,0.0199,71.1,58.4,0.0195,0.0199,0.0205,59.67,13
BTC-31MAY24-53000-C,0.8,56.4,,30.00617,-50.79344,50.36025,0.00003,,0.76974,0.1135,1,55.9,0.1235,0.1254,0.1275,60.58,3.4
BTC-31MAY24-53000-P,180.1,339.2,,-11.82813,-50.79344,50.36025,0.00003,,-0.23026,0.023,32.5,57.83,0.0235,0.0237,0.0245,58.99,60.7
BTC-31MAY24-54000-C,0.8,52.2,,29.0136,-53.85855,54.20489,0.00003,,0.73581,0.1095,1,55.88,0.1115,0.1128,0.1145,59.14,11.8
BTC-31MAY24-54000-P,45.9,353.7,,-13.61003,-53.85855,54.20489,0.00003,,-0.26419,0.028,23.7,57.16,0.028,0.0281,0.029,58.25,51.8
BTC-31MAY24-55000-C,1.7,26.6,,27.84409,-56.64065,57.73282,0.00004,,0.6988,0.1025,13.2,55.13,0.0995,0.1009,0.103,58.7,2.3
BTC-31MAY24-55000-P,407.1,1006.4,,-15.56887,-56.64065,57.73282,0.00004,,-0.3012,0.034,30.7,56.39,0.033,0.0331,0.034,57.41,47.3
BTC-31MAY24-56000-C,2.6,40.1,,26.51546,-59.01409,60.78927,0.00004,,0.65916,0.079,13.7,54.73,0.0885,0.0898,0.0915,57.64,15
BTC-31MAY24-56000-P,67.2,879.7,,-17.68682,-59.01409,60.78927,0.00004,,-0.34084,0.039,31.5,55.48,0.0385,0.0389,0.04,56.94,45.8
BTC-31MAY24-57000-C,74.7,354.8,,25.05332,-60.8588,63.23747,0.00004,,0.61744,0.08,1.5,55.05,0.079,0.0795,0.0805,56.45,6
BTC-31MAY24-57000-P,65.9,1071.8,,-19.93829,-60.8588,63.23747,0.00004,,-0.38256,0.0435,8.6,55.35,0.0455,0.0456,0.0465,56.29,10
BTC-31MAY24-58000-C,31.2,118.3,,23.48672,-62.09333,64.97329,0.00004,,0.57431,0.07,1.5,54.66,0.0695,0.07,0.0715,56.48,18.6
BTC-31MAY24-58000-P,62.3,620.6,,-22.29422,-62.09333,64.97329,0.00004,,-0.42569,0.0535,8.5,55,0.053,0.053,0.054,55.91,9.2
BTC-31MAY24-59000-C,11.8,95.9,,21.84593,-62.76268,65.93025,0.00004,,0.53052,0.0625,1.5,54.51,0.061,0.0614,0.0625,55.85,45.7
BTC-31MAY24-59000-P,10.8,385.7,,-24.72433,-62.76268,65.93025,0.00004,,-0.46948,0.0595,8,54.44,0.061,0.0614,0.0625,55.78,8.5
BTC-31MAY24-60000-C,54.5,529.2,,20.1725,-62.70368,66.08754,0.00004,,0.48679,0.056,14.9,54.14,0.053,0.0536,0.0545,55.48,22.3
BTC-31MAY24-60000-P,46.1,475.4,,-27.18709,-62.70368,66.08754,0.00004,,-0.51321,0.0725,9,54.12,0.07,0.0706,0.0715,55.45,7
BTC-31MAY24-61000-C,109.6,680.8,,18.49682,-62.00531,65.46741,0.00004,,0.44384,0.0465,42.1,54.01,0.046,0.0466,0.0475,55.36,29.9
BTC-31MAY24-61000-P,51,421.3,,-29.6521,-62.00531,65.46741,0.00004,,-0.55616,0.0931,7.4,53.58,0.0795,0.0805,0.0815,55.38,6
BTC-31MAY24-62000-C,91,269.7,,16.85699,-60.82011,64.13986,0.00004,,0.40252,0.0405,16.2,54.16,0.04,0.0406,0.0415,55.54,45.5
BTC-31MAY24-62000-P,334.2,569.4,,-32.08126,-60.82011,64.13986,0.00004,,-0.59748,0.0965,14.4,53.3,0.09,0.0914,0.093,56.06,11.4
BTC-31MAY24-63000-C,207.6,288.6,,15.27612,-59.10392,62.19578,0.00004,,0.36318,0.0285,26.4,54.16,0.0345,0.0352,0.036,55.58,26.3
BTC-31MAY24-63000-P,17.3,451.4,,-34.45145,-59.10392,62.19578,0.00004,,-0.63682,0.108,1.2,53.32,0.1015,0.1029,0.1055,57.11,1.8
BTC-31MAY24-64000-C,178.7,366.1,,13.79054,-57.10903,59.7795,0.00004,,0.32666,0.029,31.3,54.54,0.03,0.0305,0.031,55.52,26.3
BTC-31MAY24-64000-P,1.2,356.4,,-36.72636,-57.10903,59.7795,0.00004,,-0.67334,0.119,1.2,53.22,0.1135,0.1153,0.118,57.65,1.8
BTC-31MAY24-65000-C,202.2,687.7,,12.40593,-54.80842,57.00223,0.00004,,0.29292,0.0225,32.7,54.87,0.026,0.0265,0.027,55.91,36.8
BTC-31MAY24-65000-P,35,374.2,,-38.90029,-54.80842,57.00223,0.00004,,-0.70708,0.1424,10,53.01,0.126,0.1282,0.133,60.2,31.2
BTC-31MAY24-66000-C,64.4,585.7,,11.13659,-52.34565,53.99976,0.00004,,0.26223,0.023,63.3,55.22,0.0225,0.0231,0.0235,56.31,20.5
BTC-31MAY24-66000-P,3.7,464.3,,-40.95895,-52.34565,53.99976,0.00004,,-0.73777,0.145,1,52.18,0.1385,0.1417,0.147,61.4,64.9
BTC-31MAY24-67000-C,36.9,428.6,,10.01213,-50.01001,50.96813,0.00003,,0.23528,0.0165,14.6,56.22,0.02,0.0203,0.0205,56.8,12
BTC-31MAY24-67000-P,0.1,221.9,,-42.87274,-50.01001,50.96813,0.00003,,-0.76472,0.172,18.1,52.44,0.1525,0.1559,0.1605,61.66,22.9
BTC-31MAY24-68000-C,225.2,631.5,,8.97113,-47.39593,47.82041,0.00003,,0.21039,0.0165,13.9,56.82,0.0175,0.0178,0.018,57.43,12
BTC-31MAY24-68000-P,-,141.8,,-44.70307,-47.39593,47.82041,0.00003,,-0.78961,0.1933,24.1,52.16,0.1665,0.1703,0.175,62.63,27
BTC-31MAY24-69000-C,212.2,1258.9,,8.0604,-44.97245,44.79479,0.00003,,0.18874,0.0125,58.1,56.99,0.015,0.0157,0.016,58.31,39.8
BTC-31MAY24-69000-P,0.1,190,,-46.40312,-44.97245,44.79479,0.00003,,-0.81126,0.203,16.4,52.71,0.1815,0.1851,0.1895,63.26,19.8
BTC-31MAY24-70000-C,562.2,1135.3,,7.23986,-42.52638,41.83143,0.00003,,0.1693,0.0121,32.1,58.12,0.0135,0.0138,0.014,58.83,13
BTC-31MAY24-70000-P,1.7,175.4,,-48.013,-42.52638,41.83143,0.00003,,-0.8307,0.2185,18.7,52.82,0.1965,0.2002,0.2045,64.16,19.3
BTC-31MAY24-71000-C,114.9,550.2,,6.53129,-40.32683,39.08652,0.00002,,0.15258,0.0121,31.9,58.96,0.012,0.0123,0.0125,59.71,13
BTC-31MAY24-71000-P,-,144.5,,-49.51089,-40.32683,39.08652,0.00002,,-0.84742,0.2425,17.7,53.29,0.212,0.2157,0.22,65.43,22.6
BTC-31MAY24-72000-C,137.3,1224.2,,5.90521,-38.23565,36.50466,0.00002,,0.13785,0.0085,31.7,59.48,0.0105,0.0111,0.0115,61.1,55.3
BTC-31MAY24-72000-P,-,54.3,,-50.92629,-38.23565,36.50466,0.00002,,-0.86215,0.258,19.2,53.35,0.2275,0.2314,0.236,67.18,21.6
BTC-31MAY24-73000-C,156.5,951.5,,5.37795,-36.47461,34.2149,0.00002,,0.1255,0.0085,31.5,60.54,0.0095,0.01,0.0105,62.26,68.3
BTC-31MAY24-73000-P,-,89.3,,-52.24288,-36.47461,34.2149,0.00002,,-0.8745,0.153,15.4,53.99,0.2435,0.2473,0.252,68.75,18.5
BTC-31MAY24-74000-C,22.6,805.2,,4.88337,-34.57348,31.95213,0.00002,,0.1139,0.007,60.1,61.36,0.0085,0.009,0.0095,63.21,64
BTC-31MAY24-74000-P,-,87.3,,-53.52679,-34.57348,31.95213,0.00002,,-0.8861,0.293,17.4,54.31,0.2595,0.2632,0.268,70.15,24
BTC-31MAY24-75000-C,29.4,1545.9,,4.45288,-32.85543,29.8936,0.00002,,0.10382,0.0085,4.2,62.93,0.008,0.0082,0.0085,63.92,27.5
BTC-31MAY24-75000-P,-,55.6,,-54.74661,-32.85543,29.8936,0.00002,,-0.89618,0.208,17.9,54.22,0.2755,0.2794,0.282,68,12.7
BTC-31MAY24-76000-C,1047.4,1456.6,,4.08992,-31.41627,28.09233,0.00002,,0.09536,0.0065,93.9,63.31,0.007,0.0075,0.008,65.41,54.8
BTC-31MAY24-76000-P,-,57.2,,-55.89889,-31.41627,28.09233,0.00002,,-0.90464,0.192,83.8,53.63,0.2915,0.2956,0.301,74.1,27.8
BTC-31MAY24-77000-C,213.9,765.2,,3.77713,-30.16203,26.48771,0.00001,,0.08808,0.006,53.3,64.55,0.0065,0.007,0.0075,66.77,57
BTC-31MAY24-77000-P,-,17.1,,-57.00101,-30.16203,26.48771,0.00001,,-0.91192,0.2055,18.4,55.93,0.3085,0.312,0.317,75.06,24.8
BTC-31MAY24-78000-C,2.8,1379.5,,3.45164,-28.54908,24.74868,0.00001,,0.08046,0.0055,38.6,65.65,0.006,0.0063,0.007,68,83.9
BTC-31MAY24-78000-P,0.1,16.1,,-58.11583,-28.54908,24.74868,0.00001,,-0.91954,0.1915,19.3,54.52,0.3245,0.3283,0.3335,76.76,24
BTC-31MAY24-79000-C,60.3,558.9,,3.1836,-27.26123,23.27481,0.00001,,0.07421,0.005,72.4,66.59,0.0055,0.0059,0.0065,69.1,102.6
BTC-31MAY24-79000-P,-,39.4,,-59.17319,-27.26123,23.27481,0.00001,,-0.92579,0.3525,18.6,60.44,0.3425,0.3448,0.3475,73.4,18.6
BTC-31MAY24-80000-C,144.4,2961.5,,2.95752,-26.19687,21.99997,0.00001,,0.06896,0.0055,52.5,67.38,0.005,0.0055,0.006,70.05,74.7
BTC-31MAY24-80000-P,0.5,48.6,,-60.1886,-26.19687,21.99997,0.00001,,-0.93104,0.4,16.4,53.99,0.3575,0.3613,0.3665,79.86,16
BTC-31MAY24-81000-C,39.2,477.9,,2.76744,-25.33582,20.90529,0.00001,,0.06456,0.005,13.4,68.88,0.0048,0.0051,0.0055,70.86,55.7
BTC-31MAY24-81000-P,-,4.6,,-61.168,-25.33582,20.90529,0.00001,,-0.93544,0.2325,23.1,52.82,0.374,0.378,0.383,81.26,23.1
BTC-31MAY24-82000-C,46.3,744,,2.53324,-23.87275,19.50417,0.00001,,0.05907,0.0038,21.4,69.7,0.0044,0.0047,0.0049,71.21,13
BTC-31MAY24-82000-P,-,3.5,,-62.19154,-23.87275,19.50417,0.00001,,-0.94093,0.2213,64.9,40.01,0.39,0.3945,0.4,83.6,64.9
BTC-31MAY24-84000-C,43.6,593.6,,2.18858,-21.84275,17.37785,0.00001,,0.05104,0.0029,21.4,71.58,0.0038,0.004,0.0043,73.28,37.4
BTC-31MAY24-84000-P,0.1,6.6,,-64.11484,-21.84275,17.37785,0.00001,,-0.94896,0.329,64.9,-,0.4235,0.4277,0.4335,87.11,64.9
BTC-31MAY24-85000-C,102.4,1450.1,,2.03691,-20.88485,16.41017,0.00001,,0.04751,0.003,21.4,72.35,0.0035,0.0038,0.004,74.16,29
BTC-31MAY24-85000-P,-,2.6,,-65.05585,-20.88485,16.41017,0.00001,,-0.95249,0.276,64.9,-,0.44,0.4444,0.4505,89.32,64.9
BTC-31MAY24-86000-C,33.3,701.5,,1.89885,-19.98248,15.5114,0.00001,,0.04429,0.0031,13,73.4,0.0033,0.0035,0.0037,74.92,5
BTC-31MAY24-86000-P,-,0.2,,-65.98323,-19.98248,15.5114,0.00001,,-0.95571,0.2185,64.9,-,0.4565,0.4611,0.467,90.39,64.9
BTC-31MAY24-88000-C,25,369.1,,1.66226,-18.38188,13.92925,0.00001,,0.03879,0.0026,1,75.22,0.0029,0.0031,0.0033,76.92,29
BTC-31MAY24-88000-P,-,0.5,,-67.79847,-18.38188,13.92925,0.00001,,-0.96121,0.2375,64.9,-,0.49,0.4946,0.501,94.62,64.9
BTC-31MAY24-90000-C,84.8,879.9,,1.45807,-16.88339,12.51456,0.00001,,0.03403,0.0025,13,76.69,0.0025,0.0027,0.0029,78.58,5
BTC-31MAY24-90000-P,-,6.7,,-69.58131,-16.88339,12.51456,0.00001,,-0.96597,0.3835,64.9,-,0.5235,0.5281,0.5345,97.54,64.9
BTC-31MAY24-92000-C,15.4,293.7,,1.29074,-15.60919,11.31969,0.00001,,0.03013,0.0023,13,78.29,0.0022,0.0024,0.0026,80.39,5
BTC-31MAY24-92000-P,1,3,,-71.3273,-15.60919,11.31969,0.00001,,-0.96987,0.277,64.9,-,0.557,0.5617,0.568,100.27,64.9
BTC-31MAY24-94000-C,0.2,150,,1.14933,-14.47904,10.2815,-,,0.02684,0.0021,43.3,79.57,0.0019,0.0022,0.0024,82.46,37.4
BTC-31MAY24-94000-P,-,-,,-73.04736,-14.47904,10.2815,-,,-0.97316,-,16,-,0.591,0.5953,0.602,104.1,22
BTC-31MAY24-95000-C,27.3,534.4,,1.08444,-13.9295,9.79502,-,,0.02533,0.0019,43.3,80.41,0.0018,0.002,0.0022,82.86,13.4
BTC-31MAY24-95000-P,-,-,,-73.90157,-13.9295,9.79502,-,,-0.97467,-,64.9,-,0.6075,0.6122,0.619,105.98,64.9
BTC-31MAY24-96000-C,1.9,177.6,,1.02451,-13.41044,9.34003,-,,0.02394,0.0022,43.8,81.18,0.0017,0.0019,0.0021,83.74,5
BTC-31MAY24-96000-P,-,-,,-74.75083,-13.41044,9.34003,-,,-0.97606,-,17.8,-,0.6245,0.629,0.635,105.18,17.7
BTC-31MAY24-100000-C,26.8,1251.2,,0.83557,-11.7445,7.86904,-,,0.01954,0.0015,11.7,84.44,0.0014,0.0016,0.0018,87.45,14.6
BTC-31MAY24-100000-P,-,-,,-78.09708,-11.7445,7.86904,-,,-0.98046,-,64.9,-,0.6915,0.6965,0.7035,113.69,64.9
BTC-31MAY24-105000-C,13.4,272.5,,0.64795,-9.8476,6.33669,-,,0.01517,0.0011,3,88.07,0.0011,0.0013,0.0014,90.87,1
BTC-31MAY24-105000-P,-,-,,-82.23133,-9.8476,6.33669,-,,-0.98483,-,16.5,-,0.776,0.7809,0.7875,119.3,17.8
BTC-31MAY24-110000-C,15.9,1315.7,,0.51845,-8.44952,5.23223,-,,0.01215,0.0009,1,91.71,0.0009,0.001,0.0012,95.02,9
BTC-31MAY24-110000-P,-,-,,-86.30746,-8.44952,5.23223,-,,-0.98785,-,64.9,-,0.8595,0.8654,0.873,128.77,64.9
BTC-31MAY24-115000-C,20.8,131.6,,0.42776,-7.42567,4.43155,-,,0.01004,0.0007,17.1,94.41,0.0007,0.0009,0.001,98.43,4.1
BTC-31MAY24-115000-P,-,-,,-90.34479,-7.42567,4.43155,-,,-0.98996,-,64.9,-,0.944,0.9499,0.9575,134.86,64.9
BTC-31MAY24-120000-C,20.6,431.8,,0.36407,-6.69477,3.85399,-,,0.00856,0.0008,4,97.82,0.0006,0.0007,0.0009,102.4,27.1
BTC-31MAY24-120000-P,-,-,,-94.35511,-6.69477,3.85399,-,,-0.99144,-,64.9,-,1.028,1.0346,1.0425,142.1,64.9
BTC-31MAY24-140000-C,12.5,458.5,,0.18354,-4.04287,2.1061,-,,0.00433,0.0006,5.1,108.02,0.0003,0.0004,0.0004,111.04,0.3
BTC-31MAY24-140000-P,-,-,,-110.32217,-4.04287,2.1061,-,,-0.99567,-,64.9,-,1.3655,1.3732,1.3825,168.14,64.9
